merk_mobil,model_mobil,tahun_produksi,bahan_bakar,jarak_tempuh,transmisi,harga,lokasi,wilayah,kapasitas_mesin
daihatsu,ayla,2017,Bensin,72.5,Manual,90000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,ayla,2018,Bensin,77.5,Manual,92000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2019,Bensin,77.5,Manual,92000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,sigra,2019,Bensin,77.5,Manual,92000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,sigra,2021,Bensin,77.5,Manual,92000000,Antapani (Cicadas), Bandung Kota,1.25
daihatsu,sigra,2019,Bensin,77.5,Manual,93000000,Karawang Timur, Karawang Kab.,1.25
daihatsu,ayla,2018,Bensin,77.5,Manual,94000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2019,Bensin,82.5,Manual,95000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2018,Bensin,82.5,Manual,95000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,sigra,2018,Bensin,82.5,Manual,95000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2018,Bensin,82.5,Manual,96000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,sigra,2019,Bensin,82.5,Manual,96000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,sigra,2019,Bensin,82.5,Manual,96000000,Sukajadi, Bandung Kota,1.25
daihatsu,ayla,2018,Bensin,82.5,Manual,97000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,ayla,2018,Bensin,82.5,Automatic,97000000,Bekasi Barat, Bekasi Kota,1.25
daihatsu,ayla,2019,Bensin,82.5,Manual,98000000,Cempaka Putih, Jakarta Pusat,1.25
daihatsu,ayla,2019,Bensin,82.5,Manual,98000000,Kemayoran, Jakarta Pusat,1.25
daihatsu,sigra,2021,Bensin,82.5,Manual,98000000,Medan Satria, Bekasi Kota,1.25
daihatsu,ayla,2021,Bensin,82.5,Manual,99000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,sigra,2019,Bensin,82.5,Manual,99000000,Medan Satria, Bekasi Kota,1.25
daihatsu,ayla,2022,Bensin,87.5,Manual,100000000,Cibubur, Jakarta Timur,1.25
daihatsu,ayla,2022,Bensin,82.5,Manual,100000000,Gunung Putri, Bogor Kab.,1.25
daihatsu,sigra,2019,Bensin,52.5,Manual,103000000,Pondok Aren, Tangerang Selatan Kota,1.25
daihatsu,ayla,2017,Bensin,92.5,Manual,105000000,Cikarang Barat, Bekasi Kab.,1.25
daihatsu,sigra,2018,Bensin,92.5,Manual,105000000,Cikarang Selatan, Bekasi Kab.,1.25
daihatsu,ayla,2019,Bensin,92.5,Manual,106000000,Cikarang Selatan, Bekasi Kab.,1.25
